category,n_pkts_dropped,n_bits_dropped,n_pkts_bypassed,n_rx_bits,n_rx_pkts,n_tx_bits,n_tx_pkts,n_rx_offload_bits,n_rx_offload_pkts,n_tx_offload_bits,n_tx_offload_pkts
InboundTrafficMetrics,0,0,4,58344,21,58344,21,0,0,0,0
OutboundTrafficMetrics,4,31,1,60560,17,60312,17,0,0,0,0
InboundTrafficMetrics,0,0,4,57768,21,57768,21,0,0,0,0
OutboundTrafficMetrics,1,9,8,51456,18,51384,18,0,0,0,0
InboundTrafficMetrics,0,0,1,55272,19,55272,19,0,0,0,0
OutboundTrafficMetrics,1,9,8,51456,18,51384,18,0,0,0,0
InboundTrafficMetrics,0,0,1,54984,19,54984,19,0,0,0,0
OutboundTrafficMetrics,0,0,2,13488,9,13488,9,0,0,0,0
InboundTrafficMetrics,1,6,5,12848,8,12800,8,0,0,0,0
OutboundTrafficMetrics,0,0,2,13488,9,13488,9,0,0,0,0
InboundTrafficMetrics,1,6,5,12152,7,12104,7,0,0,0,0
OutboundTrafficMetrics,0,0,5,25080,11,25080,11,0,0,0,0
InboundTrafficMetrics,0,0,9,33784,10,33784,10,0,0,0,0
OutboundTrafficMetrics,0,0,5,25080,11,25080,11,0,0,0,0
InboundTrafficMetrics,0,0,9,33488,10,33488,10,0,0,0,0
OutboundTrafficMetrics,0,0,5,16168,10,16168,10,0,0,0,0
InboundTrafficMetrics,0,0,9,15456,8,15456,8,0,0,0,0
OutboundTrafficMetrics,0,0,5,16168,10,16168,10,0,0,0,0
InboundTrafficMetrics,0,0,9,15160,8,15160,8,0,0,0,0
OutboundTrafficMetrics,1,9,6,19560,12,19488,12,0,0,0,0
InboundTrafficMetrics,0,0,1,27808,11,27808,11,0,0,0,0
OutboundTrafficMetrics,1,9,6,19560,12,19488,12,0,0,0,0
InboundTrafficMetrics,0,0,1,27224,11,27224,11,0,0,0,0
OutboundTrafficMetrics,0,0,6,35256,13,35256,13,0,0,0,0
InboundTrafficMetrics,0,0,1,59920,14,59920,14,0,0,0,0
OutboundTrafficMetrics,0,0,6,35256,13,35256,13,0,0,0,0
InboundTrafficMetrics,0,0,1,59632,14,59632,14,0,0,0,0
OutboundTrafficMetrics,0,0,3,14920,9,14920,9,0,0,0,0
InboundTrafficMetrics,0,0,5,12544,7,12544,7,0,0,0,0
OutboundTrafficMetrics,0,0,3,14920,9,14920,9,0,0,0,0
InboundTrafficMetrics,0,0,5,11968,6,11968,6,0,0,0,0
OutboundTrafficMetrics,0,0,2,12208,8,12208,8,0,0,0,0
InboundTrafficMetrics,0,0,3,11648,7,11648,7,0,0,0,0
OutboundTrafficMetrics,0,0,2,12208,8,12208,8,0,0,0,0
InboundTrafficMetrics,0,0,3,11360,7,11360,7,0,0,0,0
OutboundTrafficMetrics,0,0,2,21616,8,21616,8,0,0,0,0
InboundTrafficMetrics,0,0,3,16024,7,16024,7,0,0,0,0
OutboundTrafficMetrics,0,0,2,21616,8,21616,8,0,0,0,0
InboundTrafficMetrics,0,0,3,15448,6,15448,6,0,0,0,0
OutboundTrafficMetrics,1,110,2,32504,18,31616,16,0,0,0,0
InboundTrafficMetrics,0,0,3,46872,14,46872,14,0,0,0,0
OutboundTrafficMetrics,1,110,2,32504,18,31616,16,0,0,0,0
InboundTrafficMetrics,0,0,3,46576,14,46576,14,0,0,0,0
OutboundTrafficMetrics,2,199,6,203008,50,201416,48,0,0,0,0
InboundTrafficMetrics,0,0,9,238320,63,238320,63,0,0,0,0
OutboundTrafficMetrics,2,199,6,203008,50,201416,48,0,0,0,0
InboundTrafficMetrics,0,0,9,238032,63,238032,63,0,0,0,0
OutboundTrafficMetrics,5,34,6,204896,61,204624,60,0,0,0,0
InboundTrafficMetrics,0,0,9,640768,145,640768,145,0,0,0,0
OutboundTrafficMetrics,5,34,6,204896,61,204624,60,0,0,0,0
InboundTrafficMetrics,0,0,9,640184,145,640184,145,0,0,0,0
OutboundTrafficMetrics,1,6,7,20840,11,20784,11,0,0,0,0
InboundTrafficMetrics,0,0,1,24776,9,24776,9,0,0,0,0
OutboundTrafficMetrics,1,6,7,20840,11,20784,11,0,0,0,0
InboundTrafficMetrics,0,0,1,24488,9,24488,9,0,0,0,0
OutboundTrafficMetrics,0,0,8,23184,12,23184,12,0,0,0,0
InboundTrafficMetrics,0,0,1,26784,11,26784,11,0,0,0,0
OutboundTrafficMetrics,0,0,8,23184,12,23184,12,0,0,0,0
InboundTrafficMetrics,0,0,1,26200,11,26200,11,0,0,0,0
OutboundTrafficMetrics,0,0,2,15920,8,15920,8,0,0,0,0
InboundTrafficMetrics,0,0,2,10536,7,10536,7,0,0,0,0
OutboundTrafficMetrics,0,0,2,15920,8,15920,8,0,0,0,0
InboundTrafficMetrics,0,0,2,10128,7,10128,7,0,0,0,0
OutboundTrafficMetrics,0,0,1,15064,9,15064,9,0,0,0,0
InboundTrafficMetrics,0,0,4,36024,9,36024,9,0,0,0,0
OutboundTrafficMetrics,0,0,1,15064,9,15064,9,0,0,0,0
InboundTrafficMetrics,0,0,4,35440,9,35440,9,0,0,0,0
OutboundTrafficMetrics,0,0,3,18624,9,18624,9,0,0,0,0
InboundTrafficMetrics,0,0,5,20584,8,20584,8,0,0,0,0
OutboundTrafficMetrics,0,0,3,18624,9,18624,9,0,0,0,0
InboundTrafficMetrics,0,0,5,20296,8,20296,8,0,0,0,0
OutboundTrafficMetrics,0,0,2,28064,12,28064,12,0,0,0,0
InboundTrafficMetrics,0,0,4,23640,10,23640,10,0,0,0,0
OutboundTrafficMetrics,0,0,2,28064,12,28064,12,0,0,0,0
InboundTrafficMetrics,0,0,4,23056,10,23056,10,0,0,0,0
OutboundTrafficMetrics,0,0,3,17248,9,17248,9,0,0,0,0
InboundTrafficMetrics,0,0,5,15896,7,15896,7,0,0,0,0
OutboundTrafficMetrics,0,0,3,17248,9,17248,9,0,0,0,0
