category,timestamp,n_pkts,n_bits,n_drops,n_syn_pkts,n_ack_pkts,n_psh_pkts,n_rst_pkts,n_fin_pkts,n_ece_pkts,n_urg_pkts,n_cwr_pkts,n_tcp_payload_misbehaviour_drops,n_tcp_payload_misbehaviour_timeouts,n_out_of_order_drops,n_ssl_renegotiation_requests
InboundTCPMetrics,1685405141000,1,976,0,4,9,5,3,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405141000,1,976,0,4,9,5,3,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405141000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405151000,2,1968,0,1,2,8,1,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405151000,2,1968,0,1,2,8,1,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405151000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405161000,3,6440,0,3,3,1,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405161000,3,6440,0,3,3,1,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405161000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405171000,11,19616,0,9,11,4,8,4,0,0,0,0,0,0,0
InboundTCPMetrics,1685405171000,11,19616,0,9,11,4,8,4,0,0,0,0,0,0,0
InboundTCPMetrics,1685405171000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405181000,4,9144,0,2,4,1,4,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685405181000,4,9144,0,2,4,1,4,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685405181000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405191000,2,4656,0,2,2,1,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405191000,2,4656,0,2,2,1,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405191000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405201000,2,1736,0,1,1,9,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405201000,2,1736,0,1,1,9,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405201000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405211000,4,16960,0,4,4,1,0,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405211000,4,16960,0,4,4,1,0,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405211000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405221000,3,5832,0,2,3,1,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405221000,3,5832,0,2,3,1,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405221000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405231000,3,11408,0,2,3,1,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405231000,3,11408,0,2,3,1,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405231000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405241000,1,1192,0,3,1,6,3,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405241000,1,1192,0,3,1,6,3,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405241000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405251000,1,3936,0,0,1,1,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405251000,1,3936,0,0,1,1,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405251000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405261000,2,1960,0,2,2,1,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405261000,2,1960,0,2,2,1,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405261000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405271000,1,1320,0,0,1,5,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405271000,1,1320,0,0,1,5,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405271000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405281000,4,6552,0,4,3,1,2,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405281000,4,6552,0,4,3,1,2,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405281000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405291000,3,9120,0,2,3,1,1,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405291000,3,9120,0,2,3,1,1,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405291000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405301000,1,992,0,1,1,7,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405301000,1,992,0,1,1,7,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405301000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405311000,3,5760,0,2,3,1,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405311000,3,5760,0,2,3,1,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405311000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
